,date,Infected,Area
0,2016-01-01,0,Sylhet
1,2016-01-02,0,Sylhet
2,2016-01-03,0,Sylhet
3,2016-01-04,0,Sylhet
4,2016-01-05,0,Sylhet
5,2016-01-06,0,Sylhet
6,2016-01-07,0,Sylhet
7,2016-01-08,0,Sylhet
8,2016-01-09,0,Sylhet
9,2016-01-10,0,Sylhet
10,2016-01-11,0,Sylhet
11,2016-01-12,0,Sylhet
12,2016-01-13,0,Sylhet
13,2016-01-14,0,Sylhet
14,2016-01-15,0,Sylhet
15,2016-01-16,0,Sylhet
16,2016-01-17,0,Sylhet
17,2016-01-18,0,Sylhet
18,2016-01-19,0,Sylhet
19,2016-01-20,0,Sylhet
20,2016-01-21,0,Sylhet
21,2016-01-22,0,Sylhet
22,2016-01-23,0,Sylhet
23,2016-01-24,0,Sylhet
24,2016-01-25,0,Sylhet
25,2016-01-26,0,Sylhet
26,2016-01-27,0,Sylhet
27,2016-01-28,0,Sylhet
28,2016-01-29,0,Sylhet
29,2016-01-30,0,Sylhet
30,2016-01-31,0,Sylhet
31,2016-02-01,0,Sylhet
32,2016-02-02,0,Sylhet
33,2016-02-03,0,Sylhet
34,2016-02-04,0,Sylhet
35,2016-02-05,0,Sylhet
36,2016-02-06,0,Sylhet
37,2016-02-07,0,Sylhet
38,2016-02-08,0,Sylhet
39,2016-02-09,0,Sylhet
40,2016-02-10,0,Sylhet
41,2016-02-11,0,Sylhet
42,2016-02-12,0,Sylhet
43,2016-02-13,0,Sylhet
44,2016-02-14,0,Sylhet
45,2016-02-15,0,Sylhet
46,2016-02-16,0,Sylhet
47,2016-02-17,0,Sylhet
48,2016-02-18,0,Sylhet
49,2016-02-19,0,Sylhet
50,2016-02-20,0,Sylhet
51,2016-02-21,0,Sylhet
52,2016-02-22,0,Sylhet
53,2016-02-23,0,Sylhet
54,2016-02-24,0,Sylhet
55,2016-02-25,0,Sylhet
56,2016-02-26,0,Sylhet
57,2016-02-27,0,Sylhet
58,2016-02-28,0,Sylhet
59,2016-02-29,0,Sylhet
60,2016-03-01,0,Sylhet
61,2016-03-02,0,Sylhet
62,2016-03-03,0,Sylhet
63,2016-03-04,0,Sylhet
64,2016-03-05,0,Sylhet
65,2016-03-06,0,Sylhet
66,2016-03-07,0,Sylhet
67,2016-03-08,0,Sylhet
68,2016-03-09,0,Sylhet
69,2016-03-10,0,Sylhet
70,2016-03-11,0,Sylhet
71,2016-03-12,0,Sylhet
72,2016-03-13,0,Sylhet
73,2016-03-14,0,Sylhet
74,2016-03-15,0,Sylhet
75,2016-03-16,0,Sylhet
76,2016-03-17,0,Sylhet
77,2016-03-18,0,Sylhet
78,2016-03-19,0,Sylhet
79,2016-03-20,0,Sylhet
80,2016-03-21,0,Sylhet
81,2016-03-22,0,Sylhet
82,2016-03-23,0,Sylhet
83,2016-03-24,0,Sylhet
84,2016-03-25,0,Sylhet
85,2016-03-26,0,Sylhet
86,2016-03-27,0,Sylhet
87,2016-03-28,0,Sylhet
88,2016-03-29,0,Sylhet
89,2016-03-30,0,Sylhet
