Unnamed: 0,date,Infected,Area
0,2016-01-01,0,Barisal
1,2016-01-02,0,Barisal
2,2016-01-03,0,Barisal
3,2016-01-04,0,Barisal
4,2016-01-05,0,Barisal
5,2016-01-06,0,Barisal
6,2016-01-07,0,Barisal
7,2016-01-08,0,Barisal
8,2016-01-09,0,Barisal
9,2016-01-10,0,Barisal
10,2016-01-11,0,Barisal
11,2016-01-12,0,Barisal
12,2016-01-13,0,Barisal
13,2016-01-14,0,Barisal
14,2016-01-15,0,Barisal
15,2016-01-16,0,Barisal
16,2016-01-17,0,Barisal
17,2016-01-18,0,Barisal
18,2016-01-19,0,Barisal
19,2016-01-20,0,Barisal
20,2016-01-21,0,Barisal
21,2016-01-22,0,Barisal
22,2016-01-23,0,Barisal
23,2016-01-24,0,Barisal
24,2016-01-25,0,Barisal
25,2016-01-26,0,Barisal
26,2016-01-27,0,Barisal
27,2016-01-28,0,Barisal
28,2016-01-29,0,Barisal
29,2016-01-30,0,Barisal
30,2016-01-31,0,Barisal
31,2016-02-01,0,Barisal
32,2016-02-02,0,Barisal
33,2016-02-03,0,Barisal
34,2016-02-04,0,Barisal
35,2016-02-05,0,Barisal
36,2016-02-06,0,Barisal
37,2016-02-07,0,Barisal
38,2016-02-08,0,Barisal
39,2016-02-09,0,Barisal
40,2016-02-10,0,Barisal
41,2016-02-11,0,Barisal
42,2016-02-12,0,Barisal
43,2016-02-13,0,Barisal
44,2016-02-14,0,Barisal
45,2016-02-15,0,Barisal
46,2016-02-16,0,Barisal
47,2016-02-17,0,Barisal
48,2016-02-18,0,Barisal
49,2016-02-19,0,Barisal
50,2016-02-20,0,Barisal
51,2016-02-21,0,Barisal
52,2016-02-22,0,Barisal
53,2016-02-23,0,Barisal
54,2016-02-24,0,Barisal
55,2016-02-25,0,Barisal
56,2016-02-26,0,Barisal
57,2016-02-27,0,Barisal
58,2016-02-28,0,Barisal
59,2016-02-29,0,Barisal
60,2016-03-01,0,Barisal
61,2016-03-02,0,Barisal
62,2016-03-03,0,Barisal
63,2016-03-04,0,Barisal
64,2016-03-05,0,Barisal
65,2016-03-06,0,Barisal
66,2016-03-07,0,Barisal
67,2016-03-08,0,Barisal
68,2016-03-09,0,Barisal
69,2016-03-10,0,Barisal
70,2016-03-11,0,Barisal
71,2016-03-12,0,Barisal
72,2016-03-13,0,Barisal
73,2016-03-14,0,Barisal
74,2016-03-15,0,Barisal
75,2016-03-16,0,Barisal
76,2016-03-17,0,Barisal
77,2016-03-18,0,Barisal
78,2016-03-19,0,Barisal
79,2016-03-20,0,Barisal
80,2016-03-21,0,Barisal
81,2016-03-22,0,Barisal
82,2016-03-23,0,Barisal
83,2016-03-24,0,Barisal
84,2016-03-25,0,Barisal
85,2016-03-26,0,Barisal
86,2016-03-27,0,Barisal
87,2016-03-28,0,Barisal
88,2016-03-29,0,Barisal
89,2016-03-30,0,Barisal
90,2016-03-31,0,Barisal
91,2016-04-01,0,Barisal
92,2016-04-02,0,Barisal
93,2016-04-03,0,Barisal
94,2016-04-04,0,Barisal
95,2016-04-05,0,Barisal
96,2016-04-06,0,Barisal
97,2016-04-07,0,Barisal
98,2016-04-08,0,Barisal
99,2016-04-09,0,Barisal
100,2016-04-10,0,Barisal
101,2016-04-11,0,Barisal
102,2016-04-12,0,Barisal
103,2016-04-13,0,Barisal
104,2016-04-14,0,Barisal
105,2016-04-15,0,Barisal
106,2016-04-16,0,Barisal
107,2016-04-17,0,Barisal
108,2016-04-18,0,Barisal
109,2016-04-19,0,Barisal
110,2016-04-20,0,Barisal
111,2016-04-21,0,Barisal
112,2016-04-22,0,Barisal
113,2016-04-23,0,Barisal
114,2016-04-24,0,Barisal
115,2016-04-25,0,Barisal
116,2016-04-26,0,Barisal
117,2016-04-27,0,Barisal
118,2016-04-28,0,Barisal
119,2016-04-29,0,Barisal
120,2016-04-30,0,Barisal
121,2016-05-01,0,Barisal
122,2016-05-02,0,Barisal
123,2016-05-03,0,Barisal
124,2016-05-04,0,Barisal
125,2016-05-05,0,Barisal
126,2016-05-06,0,Barisal
127,2016-05-07,0,Barisal
128,2016-05-08,0,Barisal
129,2016-05-09,0,Barisal
130,2016-05-10,0,Barisal
131,2016-05-11,0,Barisal
132,2016-05-12,0,Barisal
133,2016-05-13,0,Barisal
134,2016-05-14,0,Barisal
135,2016-05-15,0,Barisal
136,2016-05-16,0,Barisal
137,2016-05-17,0,Barisal
138,2016-05-18,0,Barisal
139,2016-05-19,0,Barisal
140,2016-05-20,0,Barisal
141,2016-05-21,0,Barisal
142,2016-05-22,0,Barisal
143,2016-05-23,0,Barisal
144,2016-05-24,0,Barisal
145,2016-05-25,0,Barisal
146,2016-05-26,0,Barisal
147,2016-05-27,0,Barisal
148,2016-05-28,0,Barisal
149,2016-05-29,0,Barisal
150,2016-05-30,0,Barisal
151,2016-05-31,0,Barisal
152,2016-06-01,0,Barisal
153,2016-06-02,0,Barisal
154,2016-06-03,0,Barisal
155,2016-06-04,0,Barisal
156,2016-06-05,0,Barisal
157,2016-06-06,0,Barisal
158,2016-06-07,0,Barisal
159,2016-06-08,0,Barisal
160,2016-06-09,0,Barisal
161,2016-06-10,0,Barisal
162,2016-06-11,0,Barisal
163,2016-06-12,0,Barisal
164,2016-06-13,0,Barisal
165,2016-06-14,0,Barisal
166,2016-06-15,0,Barisal
167,2016-06-16,0,Barisal
168,2016-06-17,0,Barisal
169,2016-06-18,0,Barisal
170,2016-06-19,0,Barisal
171,2016-06-20,0,Barisal
172,2016-06-21,0,Barisal
173,2016-06-22,0,Barisal
174,2016-06-23,0,Barisal
175,2016-06-24,0,Barisal
176,2016-06-25,0,Barisal
177,2016-06-26,0,Barisal
178,2016-06-27,0,Barisal
179,2016-06-28,0,Barisal
180,2016-06-29,0,Barisal
181,2016-06-30,0,Barisal
182,2016-07-01,0,Barisal
183,2016-07-02,0,Barisal
184,2016-07-03,0,Barisal
185,2016-07-04,0,Barisal
186,2016-07-05,0,Barisal
187,2016-07-06,0,Barisal
188,2016-07-07,0,Barisal
189,2016-07-08,0,Barisal
190,2016-07-09,0,Barisal
191,2016-07-10,0,Barisal
192,2016-07-11,0,Barisal
193,2016-07-12,0,Barisal
194,2016-07-13,0,Barisal
195,2016-07-14,0,Barisal
196,2016-07-15,0,Barisal
197,2016-07-16,0,Barisal
198,2016-07-17,0,Barisal
199,2016-07-18,0,Barisal
200,2016-07-19,0,Barisal
201,2016-07-20,0,Barisal
202,2016-07-21,0,Barisal
203,2016-07-22,0,Barisal
204,2016-07-23,0,Barisal
205,2016-07-24,0,Barisal
206,2016-07-25,0,Barisal
207,2016-07-26,0,Barisal
208,2016-07-27,0,Barisal
209,2016-07-28,0,Barisal
210,2016-07-29,0,Barisal
211,2016-07-30,0,Barisal
212,2016-07-31,0,Barisal
213,2016-08-01,0,Barisal
214,2016-08-02,0,Barisal
215,2016-08-03,0,Barisal
216,2016-08-04,0,Barisal
217,2016-08-05,0,Barisal
218,2016-08-06,0,Barisal
219,2016-08-07,0,Barisal
220,2016-08-08,0,Barisal
221,2016-08-09,0,Barisal
222,2016-08-10,0,Barisal
223,2016-08-11,0,Barisal
224,2016-08-12,0,Barisal
225,2016-08-13,0,Barisal
226,2016-08-14,0,Barisal
227,2016-08-15,0,Barisal
228,2016-08-16,0,Barisal
229,2016-08-17,0,Barisal
230,2016-08-18,0,Barisal
231,2016-08-19,0,Barisal
232,2016-08-20,0,Barisal
233,2016-08-21,0,Barisal
234,2016-08-22,0,Barisal
235,2016-08-23,0,Barisal
236,2016-08-24,0,Barisal
237,2016-08-25,0,Barisal
238,2016-08-26,0,Barisal
239,2016-08-27,0,Barisal
240,2016-08-28,0,Barisal
241,2016-08-29,0,Barisal
242,2016-08-30,0,Barisal
243,2016-08-31,0,Barisal
244,2016-09-01,0,Barisal
245,2016-09-02,0,Barisal
246,2016-09-03,0,Barisal
247,2016-09-04,0,Barisal
248,2016-09-05,0,Barisal
249,2016-09-06,0,Barisal
250,2016-09-07,0,Barisal
251,2016-09-08,0,Barisal
252,2016-09-09,0,Barisal
253,2016-09-10,0,Barisal
254,2016-09-11,0,Barisal
255,2016-09-12,0,Barisal
256,2016-09-13,0,Barisal
257,2016-09-14,0,Barisal
258,2016-09-15,0,Barisal
259,2016-09-16,0,Barisal
260,2016-09-17,0,Barisal
261,2016-09-18,0,Barisal
262,2016-09-19,0,Barisal
263,2016-09-20,0,Barisal
264,2016-09-21,0,Barisal
265,2016-09-22,0,Barisal
266,2016-09-23,0,Barisal
267,2016-09-24,0,Barisal
268,2016-09-25,0,Barisal
269,2016-09-26,0,Barisal
270,2016-09-27,0,Barisal
271,2016-09-28,0,Barisal
272,2016-09-29,0,Barisal
273,2016-09-30,0,Barisal
274,2016-10-01,0,Barisal
275,2016-10-02,0,Barisal
276,2016-10-03,0,Barisal
277,2016-10-04,0,Barisal
278,2016-10-05,0,Barisal
279,2016-10-06,0,Barisal
280,2016-10-07,0,Barisal
281,2016-10-08,0,Barisal
282,2016-10-09,0,Barisal
283,2016-10-10,0,Barisal
284,2016-10-11,0,Barisal
285,2016-10-12,0,Barisal
286,2016-10-13,0,Barisal
287,2016-10-14,0,Barisal
288,2016-10-15,0,Barisal
289,2016-10-16,0,Barisal
290,2016-10-17,0,Barisal
291,2016-10-18,0,Barisal
292,2016-10-19,0,Barisal
293,2016-10-20,0,Barisal
294,2016-10-21,0,Barisal
