Unnamed: 0,date,Area,Infected_Cases
0,2016-01-01,Dhaka,1.0
1,2016-01-02,Dhaka,0.0
2,2016-01-03,Dhaka,0.0
3,2016-01-04,Dhaka,1.0
4,2016-01-05,Dhaka,2.0
5,2016-01-06,Dhaka,0.0
6,2016-01-07,Dhaka,0.0
7,2016-01-08,Dhaka,1.0
8,2016-01-09,Dhaka,2.0
9,2016-01-10,Dhaka,1.0
10,2016-01-11,Dhaka,1.0
11,2016-01-12,Dhaka,0.0
12,2016-01-13,Dhaka,0.0
13,2016-01-14,Dhaka,0.0
14,2016-01-15,Dhaka,0.0
15,2016-01-16,Dhaka,1.0
16,2016-01-17,Dhaka,0.0
17,2016-01-18,Dhaka,0.0
18,2016-01-19,Dhaka,0.0
19,2016-01-20,Dhaka,1.0
20,2016-01-21,Dhaka,0.0
21,2016-01-22,Dhaka,2.0
22,2016-01-23,Dhaka,0.0
23,2016-01-24,Dhaka,0.0
24,2016-01-25,Dhaka,1.0
25,2016-01-26,Dhaka,0.0
26,2016-01-27,Dhaka,0.0
27,2016-01-28,Dhaka,0.0
28,2016-01-29,Dhaka,0.0
29,2016-01-30,Dhaka,0.0
30,2016-01-31,Dhaka,0.0
31,2016-02-01,Dhaka,0.0
32,2016-02-02,Dhaka,0.0
33,2016-02-03,Dhaka,0.0
34,2016-02-04,Dhaka,0.0
35,2016-02-05,Dhaka,0.0
36,2016-02-06,Dhaka,1.0
37,2016-02-07,Dhaka,0.0
38,2016-02-08,Dhaka,0.0
39,2016-02-09,Dhaka,0.0
40,2016-02-10,Dhaka,0.0
41,2016-02-11,Dhaka,0.0
42,2016-02-12,Dhaka,1.0
43,2016-02-13,Dhaka,0.0
44,2016-02-14,Dhaka,0.0
45,2016-02-15,Dhaka,0.0
46,2016-02-16,Dhaka,0.0
47,2016-02-17,Dhaka,0.0
48,2016-02-18,Dhaka,1.0
49,2016-02-19,Dhaka,0.0
50,2016-02-20,Dhaka,0.0
51,2016-02-21,Dhaka,0.0
52,2016-02-22,Dhaka,0.0
53,2016-02-23,Dhaka,0.0
54,2016-02-24,Dhaka,0.0
55,2016-02-25,Dhaka,0.0
56,2016-02-26,Dhaka,0.0
57,2016-02-27,Dhaka,0.0
58,2016-02-28,Dhaka,0.0
59,2016-02-29,Dhaka,0.0
60,2016-03-01,Dhaka,0.0
61,2016-03-02,Dhaka,0.0
62,2016-03-03,Dhaka,1.0
63,2016-03-04,Dhaka,0.0
64,2016-03-05,Dhaka,0.0
65,2016-03-06,Dhaka,0.0
66,2016-03-07,Dhaka,0.0
67,2016-03-08,Dhaka,0.0
68,2016-03-09,Dhaka,0.0
69,2016-03-10,Dhaka,0.0
70,2016-03-11,Dhaka,0.0
71,2016-03-12,Dhaka,1.0
72,2016-03-13,Dhaka,1.0
73,2016-03-14,Dhaka,0.0
74,2016-03-15,Dhaka,1.0
75,2016-03-16,Dhaka,1.0
76,2016-03-17,Dhaka,2.0
77,2016-03-18,Dhaka,0.0
78,2016-03-19,Dhaka,0.0
79,2016-03-20,Dhaka,2.0
80,2016-03-21,Dhaka,1.0
81,2016-03-22,Dhaka,0.0
82,2016-03-23,Dhaka,0.0
83,2016-03-24,Dhaka,1.0
84,2016-03-25,Dhaka,0.0
85,2016-03-26,Dhaka,2.0
86,2016-03-27,Dhaka,1.0
87,2016-03-28,Dhaka,1.0
88,2016-03-29,Dhaka,0.0
89,2016-03-30,Dhaka,0.0
90,2016-03-31,Dhaka,0.0
91,2016-04-01,Dhaka,0.0
92,2016-04-02,Dhaka,0.0
93,2016-04-03,Dhaka,2.0
94,2016-04-04,Dhaka,2.0
95,2016-04-05,Dhaka,0.0
96,2016-04-06,Dhaka,1.0
97,2016-04-07,Dhaka,0.0
98,2016-04-08,Dhaka,1.0
99,2016-04-09,Dhaka,2.0
100,2016-04-10,Dhaka,3.0
101,2016-04-11,Dhaka,2.0
102,2016-04-12,Dhaka,1.0
103,2016-04-13,Dhaka,2.0
104,2016-04-14,Dhaka,2.0
105,2016-04-15,Dhaka,2.0
106,2016-04-16,Dhaka,0.0
107,2016-04-17,Dhaka,1.0
108,2016-04-18,Dhaka,4.0
109,2016-04-19,Dhaka,0.0
110,2016-04-20,Dhaka,0.0
111,2016-04-21,Dhaka,1.0
112,2016-04-22,Dhaka,3.0
113,2016-04-23,Dhaka,0.0
114,2016-04-24,Dhaka,2.0
115,2016-04-25,Dhaka,3.0
116,2016-04-26,Dhaka,1.0
117,2016-04-27,Dhaka,2.0
118,2016-04-28,Dhaka,1.0
119,2016-04-29,Dhaka,1.0
120,2016-04-30,Dhaka,3.0
121,2016-05-01,Dhaka,1.0
122,2016-05-02,Dhaka,2.0
123,2016-05-03,Dhaka,1.0
124,2016-05-04,Dhaka,4.0
125,2016-05-05,Dhaka,0.0
126,2016-05-06,Dhaka,2.0
127,2016-05-07,Dhaka,0.0
128,2016-05-08,Dhaka,2.0
129,2016-05-09,Dhaka,0.0
130,2016-05-10,Dhaka,3.0
131,2016-05-11,Dhaka,1.0
132,2016-05-12,Dhaka,2.0
133,2016-05-13,Dhaka,3.0
134,2016-05-14,Dhaka,2.0
135,2016-05-15,Dhaka,3.0
136,2016-05-16,Dhaka,0.0
137,2016-05-17,Dhaka,4.0
138,2016-05-18,Dhaka,2.0
139,2016-05-19,Dhaka,3.0
140,2016-05-20,Dhaka,1.0
141,2016-05-21,Dhaka,0.0
142,2016-05-22,Dhaka,2.0
143,2016-05-23,Dhaka,7.0
144,2016-05-24,Dhaka,0.0
145,2016-05-25,Dhaka,1.0
146,2016-05-26,Dhaka,3.0
147,2016-05-27,Dhaka,4.0
148,2016-05-28,Dhaka,3.0
149,2016-05-29,Dhaka,3.0
150,2016-05-30,Dhaka,1.0
151,2016-05-31,Dhaka,6.0
152,2016-06-01,Dhaka,4.0
153,2016-06-02,Dhaka,3.0
154,2016-06-03,Dhaka,2.0
155,2016-06-04,Dhaka,1.0
