Station,Date,temp
Dhaka,2016-01-01,19.8
Dhaka,2016-01-02,20.1
Dhaka,2016-01-03,19.7
Dhaka,2016-01-04,20.8
Dhaka,2016-01-05,20.3
Dhaka,2016-01-06,20.1
Dhaka,2016-01-07,19.9
Dhaka,2016-01-08,20.4
Dhaka,2016-01-09,20.5
Dhaka,2016-01-10,19.3
Dhaka,2016-01-11,19.1
Dhaka,2016-01-12,18.6
Dhaka,2016-01-13,18.5
Dhaka,2016-01-14,19
Dhaka,2016-01-15,19.1
Dhaka,2016-01-16,19.7
Dhaka,2016-01-17,19.5
Dhaka,2016-01-18,19.8
Dhaka,2016-01-19,20
Dhaka,2016-01-20,18.3
Dhaka,2016-01-21,18.2
Dhaka,2016-01-22,16.2
Dhaka,2016-01-23,16.1
Dhaka,2016-01-24,16.1
Dhaka,2016-01-25,16.1
Dhaka,2016-01-26,15.6
Dhaka,2016-01-27,18.4
Dhaka,2016-01-28,19.2
Dhaka,2016-01-29,19.2
Dhaka,2016-01-30,18.9
Dhaka,2016-01-31,20.8
Dhaka,2016-01-01,19.8
Dhaka,2016-01-02,20.1
Dhaka,2016-01-03,19.7
Dhaka,2016-01-04,20.8
Dhaka,2016-01-05,20.3
Dhaka,2016-01-06,20.1
Dhaka,2016-01-07,19.9
Dhaka,2016-01-08,20.4
Dhaka,2016-01-09,20.5
Dhaka,2016-01-10,19.3
Dhaka,2016-01-11,19.1
Dhaka,2016-01-12,18.6
Dhaka,2016-01-13,18.5
Dhaka,2016-01-14,19
Dhaka,2016-01-15,19.1
Dhaka,2016-01-16,19.7
Dhaka,2016-01-17,19.5
Dhaka,2016-01-18,19.8
Dhaka,2016-01-19,20
Dhaka,2016-01-20,18.3
Dhaka,2016-01-21,18.2
Dhaka,2016-01-22,16.2
Dhaka,2016-01-23,16.1
Dhaka,2016-01-24,16.1
Dhaka,2016-01-25,16.1
Dhaka,2016-01-26,15.6
Dhaka,2016-01-27,18.4
Dhaka,2016-01-28,19.2
Dhaka,2016-01-29,19.2
Dhaka,2016-01-30,18.9
Dhaka,2016-01-31,20.8
Dhaka,2016-02-01,21.3
Dhaka,2016-02-02,21.4
Dhaka,2016-02-03,22.1
Dhaka,2016-02-04,21.1
Dhaka,2016-02-05,19.9
Dhaka,2016-02-06,19.9
Dhaka,2016-02-07,21.2
Dhaka,2016-02-08,22.4
Dhaka,2016-02-09,23.4
Dhaka,2016-02-10,22
Dhaka,2016-02-11,23.1
Dhaka,2016-02-12,23.9
Dhaka,2016-02-13,22.8
Dhaka,2016-02-14,23.7
Dhaka,2016-02-15,24.9
Dhaka,2016-02-16,24.9
Dhaka,2016-02-17,24.7
Dhaka,2016-02-18,26.2
Dhaka,2016-02-19,27.3
Dhaka,2016-02-20,28
Dhaka,2016-02-21,28
Dhaka,2016-02-22,25.9
Dhaka,2016-02-23,26.2
Dhaka,2016-02-24,23.5
Dhaka,2016-02-25,24.9
Dhaka,2016-02-26,26.2
Dhaka,2016-02-27,25.9
Dhaka,2016-02-28,25.9
Dhaka,2016-03-01,25.6
Dhaka,2016-03-02,25.8
Dhaka,2016-03-03,27.4
Dhaka,2016-03-04,27.3
Dhaka,2016-03-05,27.3
Dhaka,2016-03-06,26.3
Dhaka,2016-03-07,26.1
Dhaka,2016-03-08,27.3
Dhaka,2016-03-09,28.8
Dhaka,2016-03-10,29
Dhaka,2016-03-11,28.9
Dhaka,2016-03-12,29
Dhaka,2016-03-13,26.9
Dhaka,2016-03-14,26.2
Dhaka,2016-03-15,27.8
Dhaka,2016-03-16,27.4
Dhaka,2016-03-17,26.7
Dhaka,2016-03-18,27.8
Dhaka,2016-03-19,26.2
Dhaka,2016-03-20,27.2
Dhaka,2016-03-21,28.8
Dhaka,2016-03-22,29.4
Dhaka,2016-03-23,28.5
Dhaka,2016-03-24,27.7
Dhaka,2016-03-25,28.4
Dhaka,2016-03-26,29.7
Dhaka,2016-03-27,28.9
Dhaka,2016-03-28,24.5
Dhaka,2016-03-29,25.9
Dhaka,2016-03-30,27
Dhaka,2016-03-31,23.5
Dhaka,2016-04-01,22.3
Dhaka,2016-04-02,25
Dhaka,2016-04-03,27.4
Dhaka,2016-04-04,28.9
Dhaka,2016-04-05,28.6
Dhaka,2016-04-06,30.2
Dhaka,2016-04-07,30.2
Dhaka,2016-04-08,30.6
Dhaka,2016-04-09,30.4
Dhaka,2016-04-10,30.9
Dhaka,2016-04-11,31
Dhaka,2016-04-12,31.5
Dhaka,2016-04-13,31.3
Dhaka,2016-04-14,31.1
Dhaka,2016-04-15,30.9
Dhaka,2016-04-16,30.9
Dhaka,2016-04-17,30.9
Dhaka,2016-04-18,30.4
Dhaka,2016-04-19,31.3
Dhaka,2016-04-20,30.8
Dhaka,2016-04-21,30.9
Dhaka,2016-04-22,31.4
Dhaka,2016-04-23,31.7
Dhaka,2016-04-24,32.5
Dhaka,2016-04-25,31.9
Dhaka,2016-04-26,31.8
Dhaka,2016-04-27,31.4
Dhaka,2016-04-28,31.6
Dhaka,2016-04-29,32.1
Dhaka,2016-04-30,32.1
Dhaka,2016-05-01,29.5
Dhaka,2016-05-02,26.4
Dhaka,2016-05-03,28.7
Dhaka,2016-05-04,28.5
Dhaka,2016-05-05,28.7
Dhaka,2016-05-06,28.3
Dhaka,2016-05-07,26.3
Dhaka,2016-05-08,28.8
Dhaka,2016-05-09,29.2
Dhaka,2016-05-10,30.7
Dhaka,2016-05-11,31.2
Dhaka,2016-05-12,28.4
Dhaka,2016-05-13,25.2
Dhaka,2016-05-14,28.8
Dhaka,2016-05-15,30.5
Dhaka,2016-05-16,31.3
Dhaka,2016-05-17,31.2
Dhaka,2016-05-18,28.7
Dhaka,2016-05-19,27.3
Dhaka,2016-05-20,25.8
Dhaka,2016-05-21,24.7
Dhaka,2016-05-22,29
Dhaka,2016-05-23,30.6
Dhaka,2016-05-24,27.8
Dhaka,2016-05-25,27
Dhaka,2016-05-26,28.6
Dhaka,2016-05-27,28.7
Dhaka,2016-05-28,26.6
Dhaka,2016-05-29,28.5
Dhaka,2016-05-30,30.1
Dhaka,2016-05-31,28.6
Dhaka,2016-06-01,29.5
Dhaka,2016-06-02,31.3
Dhaka,2016-06-03,31.5
Dhaka,2016-06-04,31.5
Dhaka,2016-06-05,30.1
Dhaka,2016-06-06,29.3
Dhaka,2016-06-07,27.3
Dhaka,2016-06-08,29.7
Dhaka,2016-06-09,28.5
Dhaka,2016-06-10,30.9
Dhaka,2016-06-11,27.2
Dhaka,2016-06-12,26.5
Dhaka,2016-06-13,27.7
Dhaka,2016-06-14,28.6
Dhaka,2016-06-15,29.6
Dhaka,2016-06-16,30.5
Dhaka,2016-06-17,29.9
Dhaka,2016-06-18,29.3
Dhaka,2016-06-19,30.2
Dhaka,2016-06-20,30.7
Dhaka,2016-06-21,30.1
Dhaka,2016-06-22,29.9
Dhaka,2016-06-23,30
Dhaka,2016-06-24,30.9
Dhaka,2016-06-25,31.5
Dhaka,2016-06-26,31
Dhaka,2016-06-27,31.2
Dhaka,2016-06-28,31.4
Dhaka,2016-06-29,31.3
Dhaka,2016-06-30,30.9
Dhaka,2016-07-01,30
Dhaka,2016-07-02,29
Dhaka,2016-07-03,28.1
Dhaka,2016-07-04,28
Dhaka,2016-07-05,27
Dhaka,2016-07-06,27.3
Dhaka,2016-07-07,30.2
Dhaka,2016-07-08,30.5
Dhaka,2016-07-09,29.8
Dhaka,2016-07-10,29.4
Dhaka,2016-07-11,30
Dhaka,2016-07-12,29.9
Dhaka,2016-07-13,29.6
Dhaka,2016-07-14,30.3
Dhaka,2016-07-15,29
Dhaka,2016-07-16,27
Dhaka,2016-07-17,28.4
Dhaka,2016-07-18,28
